央视频道,#genre#
CCTV1,http://123.112.19.67:8012/rtp/239.3.1.129:8008,1.04
CCTV1,http://123.113.14.115:8012/rtp/239.3.1.129:8008,1.04
CCTV1,http://221.221.167.14:8888/rtp/239.3.1.129:8008,1.04
CCTV1,http://221.221.162.225:8888/rtp/239.3.1.129:8008,1.04
CCTV1,http://111.199.2.123:8686/rtp/239.3.1.129:8008,1.04
CCTV1,http://123.113.187.204:8000/rtp/239.3.1.129:8008,1.03
CCTV1,http://123.116.114.19:8012/rtp/239.3.1.129:8008,1.03
CCTV1,http://111.192.0.32:4022/rtp/239.3.1.129:8008,1.02
CCTV1,http://1.203.77.72:7788/udp/225.1.8.1:8008,1.02
CCTV1,http://114.254.83.83:2222/rtp/239.3.1.129:8008,0.95
CCTV1,http://111.196.75.15:8888/rtp/239.3.1.129:8008,0.92
CCTV1,http://111.196.191.248:5555/rtp/239.3.1.129:8008,0.79
CCTV1,http://222.129.139.91:8888/rtp/239.3.1.129:8008,0.62
CCTV1,http://123.113.249.203:8888/rtp/239.3.1.129:8008,0.53
CCTV1,http://111.193.236.110:8888/rtp/239.3.1.129:8008,0.43
CCTV1,http://115.171.216.91:4000/udp/225.1.8.1:8008,0.35
CCTV1,http://1.203.77.72:7788/udp/225.1.8.101:8080,0.33
CCTV2,http://1.203.77.72:7788/udp/225.1.8.2:8084,1.04
CCTV2,http://221.221.167.14:8888/rtp/239.3.1.60:8084,1.04
CCTV2,http://123.113.14.115:8012/rtp/239.3.1.60:8084,1.03
CCTV2,http://123.113.237.160:8888/rtp/239.3.1.60:8084,1.02
CCTV2,http://123.112.19.67:8012/rtp/239.3.1.60:8084,1.02
CCTV2,http://111.199.2.123:8686/rtp/239.3.1.60:8084,1.02
CCTV2,http://111.192.0.32:4022/rtp/239.3.1.60:8084,1.01
CCTV2,http://114.254.83.83:2222/rtp/239.3.1.60:8084,0.99
CCTV2,http://222.129.139.91:8888/rtp/239.3.1.60:8084,0.94
CCTV2,http://111.196.191.248:5555/rtp/239.3.1.60:8084,0.86
CCTV2,http://111.196.75.15:8888/rtp/239.3.1.60:8084,0.66
CCTV2,http://115.171.216.91:4000/udp/225.1.8.2:8084,0.62
CCTV2,http://111.193.236.110:8888/rtp/239.3.1.60:8084,0.6
CCTV2,http://123.116.114.19:8012/rtp/239.3.1.60:8084,0.58
CCTV2,http://221.221.162.225:8888/rtp/239.3.1.60:8084,0.5
CCTV2,http://1.203.77.72:7788/udp/225.1.8.102:8004,0.32
CCTV3,http://123.113.14.115:8012/rtp/239.3.1.172:8001,0.95
CCTV3,http://221.221.167.14:8888/rtp/239.3.1.172:8001,0.95
CCTV3,http://123.113.187.204:8000/rtp/239.3.1.172:8001,0.94
CCTV3,http://123.112.19.67:8012/rtp/239.3.1.172:8001,0.92
CCTV3,http://221.221.162.225:8888/rtp/239.3.1.172:8001,0.92
CCTV3,http://1.203.77.72:7788/udp/225.1.8.88:8000,0.91
CCTV3,http://111.199.2.123:8686/rtp/239.3.1.172:8001,0.91
CCTV3,http://111.192.0.32:4022/rtp/239.3.1.172:8001,0.9
CCTV3,http://111.196.75.15:8888/rtp/239.3.1.172:8001,0.89
CCTV3,http://123.116.114.19:8012/rtp/239.3.1.172:8001,0.76
CCTV3,http://114.254.83.83:2222/rtp/239.3.1.172:8001,0.72
CCTV3,http://123.113.237.160:8888/rtp/239.3.1.172:8001,0.7
CCTV3,http://111.196.191.248:5555/rtp/239.3.1.172:8001,0.66
CCTV3,http://222.129.139.91:8888/rtp/239.3.1.172:8001,0.65
CCTV3,http://111.193.236.110:8888/rtp/239.3.1.172:8001,0.54
CCTV3,http://123.113.249.203:8888/rtp/239.3.1.172:8001,0.44
CCTV3,http://1.203.77.72:7788/udp/225.1.8.92:8000,0.32
CCTV4,http://123.112.19.67:8012/rtp/239.3.1.105:8092,1.04
CCTV4,http://123.113.14.115:8012/rtp/239.3.1.105:8092,1.04
CCTV4,http://221.221.167.14:8888/rtp/239.3.1.105:8092,1.04
CCTV4,http://123.113.187.204:8000/rtp/239.3.1.105:8092,1.03
CCTV4,http://222.129.139.91:8888/rtp/239.3.1.105:8092,1.03
CCTV4,http://117.133.95.242:8887/udp/228.1.1.25:8092,1.03
CCTV4,http://111.199.2.123:8686/rtp/239.3.1.105:8092,1.02
CCTV4,http://123.113.237.160:8888/rtp/239.3.1.105:8092,1.0
CCTV4,http://1.203.77.72:7788/udp/225.1.8.4:8092,1.0
CCTV4,http://111.196.75.15:8888/rtp/239.3.1.105:8092,0.98
CCTV4,http://221.221.162.225:8888/rtp/239.3.1.105:8092,0.95
CCTV4,http://111.192.0.32:4022/rtp/239.3.1.105:8092,0.88
CCTV4,http://111.196.191.248:5555/rtp/239.3.1.105:8092,0.8
CCTV4,http://123.116.114.19:8012/rtp/239.3.1.105:8092,0.74
CCTV4,http://115.171.216.91:4000/udp/225.1.8.4:8092,0.6
CCTV4,http://123.113.249.203:8888/rtp/239.3.1.105:8092,0.46
CCTV4,http://114.254.83.83:2222/rtp/239.3.1.105:8092,0.4
CCTV4,http://1.203.77.72:7788/udp/225.1.8.104:8216,0.32
CCTV4,http://115.171.216.91:4000/udp/225.1.8.104:8216,0.31
CCTV4欧洲,http://123.113.14.115:8012/rtp/239.3.1.213:4220,1.04
CCTV4欧洲,http://221.221.167.14:8888/rtp/239.3.1.213:4220,1.04
CCTV4欧洲,http://123.112.19.67:8012/rtp/239.3.1.213:4220,1.01
CCTV4欧洲,http://111.192.0.32:4022/rtp/239.3.1.213:4220,1.01
CCTV4欧洲,http://221.221.162.225:8888/rtp/239.3.1.213:4220,0.96
CCTV4欧洲,http://123.116.114.19:8012/rtp/239.3.1.213:4220,0.94
CCTV4欧洲,http://111.196.191.248:5555/rtp/239.3.1.213:4220,0.93
CCTV4欧洲,http://111.199.2.123:8686/rtp/239.3.1.213:4220,0.89
CCTV4欧洲,http://123.113.237.160:8888/rtp/239.3.1.213:4220,0.79
CCTV4欧洲,http://222.129.139.91:8888/rtp/239.3.1.213:4220,0.66
CCTV4欧洲,http://123.113.187.204:8000/rtp/239.3.1.213:4220,0.61
CCTV4欧洲,http://123.113.249.203:8888/rtp/239.3.1.213:4220,0.53
CCTV4欧洲,http://111.196.75.15:8888/rtp/239.3.1.213:4220,0.52
CCTV4欧洲,http://114.254.83.83:2222/rtp/239.3.1.213:4220,0.45
CCTV4欧洲,http://111.193.236.110:8888/rtp/239.3.1.213:4220,0.39
CCTV4美洲,http://123.113.14.115:8012/rtp/239.3.1.214:4220,1.04
CCTV4美洲,http://221.221.167.14:8888/rtp/239.3.1.214:4220,1.04
CCTV4美洲,http://117.133.95.242:8887/udp/228.1.1.203:4220,1.04
CCTV4美洲,http://111.196.75.15:8888/rtp/239.3.1.214:4220,1.02
CCTV4美洲,http://123.112.19.67:8012/rtp/239.3.1.214:4220,1.02
CCTV4美洲,http://111.192.0.32:4022/rtp/239.3.1.214:4220,1.02
CCTV4美洲,http://123.113.237.160:8888/rtp/239.3.1.214:4220,1.0
CCTV4美洲,http://221.221.162.225:8888/rtp/239.3.1.214:4220,1.0
CCTV4美洲,http://111.199.2.123:8686/rtp/239.3.1.214:4220,0.95
CCTV4美洲,http://111.196.191.248:5555/rtp/239.3.1.214:4220,0.91
CCTV4美洲,http://222.129.139.91:8888/rtp/239.3.1.214:4220,0.88
CCTV4美洲,http://123.116.114.19:8012/rtp/239.3.1.214:4220,0.68
CCTV4美洲,http://123.113.249.203:8888/rtp/239.3.1.214:4220,0.45
CCTV4美洲,http://114.254.83.83:2222/rtp/239.3.1.214:4220,0.43
CCTV5,http://123.113.14.115:8012/rtp/239.3.1.173:8001,0.95
CCTV5,http://1.203.77.72:7788/udp/225.1.8.89:8000,0.95
CCTV5,http://221.221.167.14:8888/rtp/239.3.1.173:8001,0.95
CCTV5,http://111.199.2.123:8686/rtp/239.3.1.173:8001,0.94
CCTV5,http://111.192.0.32:4022/rtp/239.3.1.173:8001,0.93
CCTV5,http://222.129.139.91:8888/rtp/239.3.1.173:8001,0.93
CCTV5,http://123.112.19.67:8012/rtp/239.3.1.173:8001,0.92
CCTV5,http://123.113.237.160:8888/rtp/239.3.1.173:8001,0.91
CCTV5,http://123.116.114.19:8012/rtp/239.3.1.173:8001,0.9
CCTV5,http://111.196.191.248:5555/rtp/239.3.1.173:8001,0.88
CCTV5,http://111.196.75.15:8888/rtp/239.3.1.173:8001,0.83
CCTV5,http://221.221.162.225:8888/rtp/239.3.1.173:8001,0.82
CCTV5,http://114.254.83.83:2222/rtp/239.3.1.173:8001,0.71
CCTV5,http://115.171.216.91:4000/udp/225.1.8.89:8000,0.61
CCTV5,http://111.193.236.110:8888/rtp/239.3.1.173:8001,0.49
CCTV5,http://123.113.249.203:8888/rtp/239.3.1.173:8001,0.39
CCTV5,http://115.171.216.91:4000/udp/225.1.8.93:8000,0.33
CCTV5+,http://221.221.167.14:8888/rtp/239.3.1.130:8004,1.04
CCTV5+,http://111.199.2.123:8686/rtp/239.3.1.130:8004,1.04
CCTV5+,http://123.113.187.204:8000/rtp/239.3.1.130:8004,1.03
CCTV5+,http://123.113.14.115:8012/rtp/239.3.1.130:8004,1.03
CCTV5+,http://111.193.236.110:8888/rtp/239.3.1.130:8004,1.03
CCTV5+,http://123.112.19.67:8012/rtp/239.3.1.130:8004,1.02
CCTV5+,http://111.196.75.15:8888/rtp/239.3.1.130:8004,1.0
CCTV5+,http://1.203.77.72:7788/udp/225.1.8.20:8004,1.0
CCTV5+,http://117.133.95.242:8887/udp/228.1.1.23:8004,0.9
CCTV5+,http://111.192.0.32:4022/rtp/239.3.1.130:8004,0.89
CCTV5+,http://123.116.114.19:8012/rtp/239.3.1.130:8004,0.87
CCTV5+,http://123.113.237.160:8888/rtp/239.3.1.130:8004,0.86
CCTV5+,http://111.196.191.248:5555/rtp/239.3.1.130:8004,0.8
CCTV5+,http://221.221.162.225:8888/rtp/239.3.1.130:8004,0.79
CCTV5+,http://114.254.83.83:2222/rtp/239.3.1.130:8004,0.65
CCTV5+,http://222.129.139.91:8888/rtp/239.3.1.130:8004,0.62
CCTV5+,http://115.171.216.91:4000/udp/225.1.8.20:8004,0.51
CCTV5+,http://123.113.249.203:8888/rtp/239.3.1.130:8004,0.46
CCTV6,http://221.221.167.14:8888/rtp/239.3.1.174:8001,0.95
CCTV6,http://111.199.2.123:8686/rtp/239.3.1.174:8001,0.95
CCTV6,http://123.112.19.67:8012/rtp/239.3.1.174:8001,0.94
CCTV6,http://222.129.139.91:8888/rtp/239.3.1.174:8001,0.94
CCTV6,http://117.133.95.242:8887/udp/228.1.1.193:8002,0.94
CCTV6,http://111.192.0.32:4022/rtp/239.3.1.174:8001,0.92
CCTV6,http://111.196.75.15:8888/rtp/239.3.1.174:8001,0.9
CCTV6,http://114.254.83.83:2222/rtp/239.3.1.174:8001,0.79
CCTV6,http://111.193.236.110:8888/rtp/239.3.1.174:8001,0.78
